source_county_fips_code,target_county_fips_code,flow
06001,06013,0.0258740945486482
06001,06075,0.0581999933122311
06001,06077,0.001577303983702
06001,06081,0.0222481881509139
06001,06085,0.0447184607027331
06001,06087,0.0002586778533271
06001,06095,0.001053639061113
06001,06099,0.0003905404663646
06003,06017,0.0698496905393457
06005,06003,0.0011623192323287
06005,06009,0.0107041492093526
06005,06017,0.0102175969725639
06005,06061,0.0050547371266387
06005,06067,0.041573185565617
06005,06077,0.012623327476686
06005,06109,0.0017840248682254
06007,06011,0.0010963138692691
06007,06021,0.0042729282363725
06007,06063,0.0004807605902123
06007,06101,0.005975809205442
06007,06103,0.0035989647921497
06007,06115,0.0049154400531982
06009,06003,0.0016530033283445
06009,06005,0.0241249134407041
06009,06067,0.0135814327518038
06009,06077,0.0506623182254786
06009,06099,0.0117050505953046
06009,06109,0.0228516541202225
06011,06007,0.0033183772667788
06011,06021,0.0130865582351841
06011,06033,0.0003739016638624
06011,06101,0.0112170499158721
06011,06113,0.036782576182464
06011,06115,0.0056085249579361
06013,06001,0.0913811916778886
06013,06041,0.0078133838411485
06013,06055,0.0015081181094604
06013,06067,0.0015391380826737
06013,06075,0.0529976242349927
06013,06077,0.0020719517402205
06013,06081,0.0102192564694891
06013,06095,0.006873661123215
06013,06097,0.0008831568844269
06015,06023,0.0020872318986613
06015,06093,0.0005757881099755
06017,06003,0.0007688379015119
06017,06005,0.002471264683431
06017,06009,6.04086922616e-05
06017,06057,0.0014882505093551
06017,06061,0.0208025569351925
06017,06067,0.1176541657285014
06019,06031,0.0052385735443674
06019,06039,0.010918224111026
06019,06047,0.0008811088383683
06019,06053,0.0005518688809709
06019,06069,3.55370112746e-05
06019,06107,0.0079958275367939
06021,06007,0.0664311962610154
06021,06011,0.0144849976809733
06021,06045,0.0005708373470334
06021,06103,0.0211209818402369
06023,06015,0.0015847860538827
06023,06045,0.0001407053038494
06023,06105,0.0012737532769525
06025,06065,0.0088436977430614
06025,06073,0.0050727809389134
06027,06029,0.0024492461764546
06027,06051,0.0336363141566429
06027,06071,0.0004898492352909
06029,06027,0.0003488361348032
06029,06031,0.0005555966252992
06029,06037,0.0103056821017031
06029,06071,0.0009829786447601
06029,06079,0.0002679800770674
06029,06083,0.0004862914329542
06029,06107,0.0034629494441724
06029,06111,0.000622591644566
06031,06019,0.0377157313341899
06031,06029,0.0060994185353448
06031,06053,0.0001125842726394
06031,06079,0.0031523596339024
06031,06107,0.0253976873865879
06033,06011,0.0003584899778671
06033,06045,0.0194363914087097
06033,06055,0.0262788740297391
06033,06097,0.0193896318463793
06033,06113,0.0019171420555504
06035,06049,0.0028181957420738
06035,06063,0.0087302802879461
06035,06089,0.0033695818655231
06037,06029,0.0007493234969599
06037,06059,0.0185167180228539
06037,06071,0.0054361317773332
06037,06111,0.0036810691118933
06039,06019,0.0643592471946053
06039,06043,0.0029114742112581
06039,06047,0.0093023559440422
06039,06051,0.0001240314125872
06039,06109,9.79195362531e-05
06041,06013,0.0075750244823862
06041,06055,0.0018424689083372
06041,06075,0.1068864210815602
06041,06081,0.0096187715067602
06041,06095,0.0018269859763343
06041,06097,0.0169809056741075
06043,06039,0.0152903479678453
06043,06047,0.0225420203496543
06043,06099,0.0181010736972286
06043,06109,0.0229355219517679
06045,06023,0.0012336653568491
06045,06033,0.0037581102074385
06045,06097,0.0096865576167413
06045,06105,0.0004569130951293
06047,06019,0.0070371563370408
06047,06039,0.0063171457263581
06047,06043,0.0003713738939311
06047,06069,0.0039032154158061
06047,06085,0.0161396062678818
06047,06099,0.0424237830873297
06049,06035,0.0052264808362369
06049,06089,0.0070775261324042
06049,06093,0.0242813588850174
06051,06027,0.0252368160610773
06053,06019,0.0004504704264998
06053,06069,0.0045490510945498
06053,06079,0.0016221603441314
06053,06087,0.0225001808883837
06055,06011,7.84062154745e-05
06055,06013,0.0133504401439823
06055,06033,0.0004633094550768
06055,06041,0.009351723154781
06055,06095,0.0315192986207634
06055,06097,0.0172707509177091
06055,06113,0.0013471613386079
06057,06017,0.0013391498427513
06057,06061,0.0521355381962057
06057,06063,0.0001724662676271
06057,06091,0.00027391701329
06057,06115,0.0099421730749721
06059,06037,0.0593882869731062
06059,06065,0.0045461124256234
06059,06071,0.0043445764519335
06059,06073,0.0034748909603735
06061,06005,0.0001665392595828
06061,06017,0.003246150485967
06061,06057,0.0075898219941029
06061,06067,0.1166266244403189
06061,06091,0.0001010156164683
06061,06101,0.001179425576062
06061,06115,0.0059462706126461
06063,06007,0.0015817779183803
06063,06035,0.0159232310450279
06063,06057,0.0028472002530845
06063,06089,0.0002636296530634
06063,06091,0.0009490667510282
06065,06025,0.0002597875051348
06065,06059,0.0319151343410362
06065,06071,0.0422100301475349
06065,06073,0.0189784128332417
06067,06005,0.0008500291984347
06067,06009,0.0001030131693127
06067,06013,0.0013589551872247
06067,06017,0.0055633933493061
06067,06061,0.0266347030219016
06067,06077,0.0074490118922223
06067,06095,0.0039909075528437
06067,06101,0.0007081302632225
06067,06113,0.020518722472971
06069,06019,0.0001042444880727
06069,06047,0.0010945671247633
06069,06053,0.0442170370241673
06069,06085,0.1568879545494032
06069,06087,0.0180342964365759
06071,06027,2.72106375452e-05
06071,06029,0.000521298529814
06071,06037,0.064856315899271
06071,06059,0.0170639340185004
06071,06065,0.0306740265871798
06073,06025,0.000276752538553
06073,06059,0.0041233646158849
06073,06065,0.002188268670868
06075,06001,0.0256445633311647
